5.1 Cyrillic Kerning, 
Uc   

АА  НОНААНОН
АБ  НОНАБНОН
АВ  НОНАВНОН
АД  НОНАДНОН
АЖ  НОНАЖНОН
АЗ  НОНАЗНОН
АК  НОНАКНОН
АЛ  НОНАЛНОН
АН  НОНАНОН
АО  НОНАОНО
АТ  НОНАТНОН
АУ  НОНАУНОН
АФ  НОНАФНОН
АЦ  НОНАЦНОН
АЧ  НОНАЧНОН
АЪ  НОНАЪНОН
АЭ  НОНАЭНОН
АЯ  НОНАЯНОН
БА  НОНБАНОН
ББ  НОНББНОН
БВ  НОНБВНОН
БД  НОНБДНОН
БЖ  НОНБЖНОН
БЗ  НОНБЗНОН
БК  НОНБКНОН
БЛ  НОНБЛНОН
БН  НОНБНОН
БО  НОНБОНО
БТ  НОНБТНОН
БУ  НОНБУНОН
БФ  НОНБФНОН
БЦ  НОНБЦНОН
БЧ  НОНБЧНОН
БЪ  НОНБЪНОН
БЭ  НОНБЭНОН
БЯ  НОНБЯНОН
ВА  НОНВАНОН
ВБ  НОНВБНОН
ВВ  НОНВВНОН
ВД  НОНВДНОН
ВЖ  НОНВЖНОН
ВЗ  НОНВЗНОН
ВК  НОНВКНОН
ВЛ  НОНВЛНОН
ВН  НОНВНОН
ВО  НОНВОНО
ВТ  НОНВТНОН
ВУ  НОНВУНОН
ВФ  НОНВФНОН
ВЦ  НОНВЦНОН
ВЧ  НОНВЧНОН
ВЪ  НОНВЪНОН
ВЭ  НОНВЭНОН
ВЯ  НОНВЯНОН
ДА  НОНДАНОН
ДБ  НОНДБНОН
ДВ  НОНДВНОН
ДД  НОНДДНОН
ДЖ  НОНДЖНОН
ДЗ  НОНДЗНОН
ДК  НОНДКНОН
ДЛ  НОНДЛНОН
ДН  НОНДНОН
ДО  НОНДОНО
ДТ  НОНДТНОН
ДУ  НОНДУНОН
ДФ  НОНДФНОН
ДЦ  НОНДЦНОН
ДЧ  НОНДЧНОН
ДЪ  НОНДЪНОН
ДЭ  НОНДЭНОН
ДЯ  НОНДЯНОН
ЖА  НОНЖАНОН
ЖБ  НОНЖБНОН
ЖВ  НОНЖВНОН
ЖД  НОНЖДНОН
ЖЖ  НОНЖЖНОН
ЖЗ  НОНЖЗНОН
ЖК  НОНЖКНОН
ЖЛ  НОНЖЛНОН
ЖН  НОНЖНОН
ЖО  НОНЖОНО
ЖТ  НОНЖТНОН
ЖУ  НОНЖУНОН
ЖФ  НОНЖФНОН
ЖЦ  НОНЖЦНОН
ЖЧ  НОНЖЧНОН
ЖЪ  НОНЖЪНОН
ЖЭ  НОНЖЭНОН
ЖЯ  НОНЖЯНОН
ЗА  НОНЗАНОН
ЗБ  НОНЗБНОН
ЗВ  НОНЗВНОН
ЗД  НОНЗДНОН
ЗЖ  НОНЗЖНОН
ЗЗ  НОНЗЗНОН
ЗК  НОНЗКНОН
ЗЛ  НОНЗЛНОН
ЗН  НОНЗНОН
ЗО  НОНЗОНО
ЗТ  НОНЗТНОН
ЗУ  НОНЗУНОН
ЗФ  НОНЗФНОН
ЗЦ  НОНЗЦНОН
ЗЧ  НОНЗЧНОН
ЗЪ  НОНЗЪНОН
ЗЭ  НОНЗЭНОН
ЗЯ  НОНЗЯНОН
ЛА  НОНЛАНОН
ЛБ  НОНЛБНОН
ЛВ  НОНЛВНОН
ЛД  НОНЛДНОН
ЛЖ  НОНЛЖНОН
ЛЗ  НОНЛЗНОН
ЛК  НОНЛКНОН
ЛЛ  НОНЛЛНОН
ЛН  НОНЛНОН
ЛО  НОНЛОНО
ЛТ  НОНЛТНОН
ЛУ  НОНЛУНОН
ЛФ  НОНЛФНОН
ЛЦ  НОНЛЦНОН
ЛЧ  НОНЛЧНОН
ЛЪ  НОНЛЪНОН
ЛЭ  НОНЛЭНОН
ЛЯ  НОНЛЯНОН
ТА  НОНТАНОН
ТБ  НОНТБНОН
ТВ  НОНТВНОН
ТД  НОНТДНОН
ТЖ  НОНТЖНОН
ТЗ  НОНТЗНОН
ТК  НОНТКНОН
ТЛ  НОНТЛНОН
ТН  НОНТНОН
ТО  НОНТОНО
ТТ  НОНТТНОН
ТУ  НОНТУНОН
ТФ  НОНТФНОН
ТЦ  НОНТЦНОН
ТЧ  НОНТЧНОН
ТЪ  НОНТЪНОН
ТЭ  НОНТЭНОН
ТЯ  НОНТЯНОН
УА  НОНУАНОН
